Municipios,Total (Mwh),Residencial (Mwh),Industrial (Mwh),Comercial (Mwh),Rural (Mwh),Poderes públicos (Mwh),Iluminação pública (Mwh),Outros (Mwh)
Abreu e Lima,119826,48697,41809,19028,414,3030,3841,3007
Afogados da Ingazeira,36711,22569,238,4565,1570,3149,2234,2386
Afrânio,12142,6483,401,1526,1540,623,1368,201
Agrestina,52358,12181,1451,1640,2190,616,1759,32521
Água Preta,15822,9511,117,1301,429,779,2659,1026
Águas Belas,28242,16528,305,2113,6415,898,1875,108
Alagoinha,8482,6374,4,737,400,344,617,6
Aliança,25532,16400,104,2320,1805,977,3106,820
Altinho,15157,9265,662,827,871,521,1519,1492
Amaraji,16538,7440,326,1174,857,551,788,5402
Angelim,6817,3878,854,782,640,286,361,16
Araçoiaba,10230,7560,7,949,41,478,771,424
Araripina,100970,36833,38120,10449,7076,2126,3720,2646
Arcoverde,88201,39346,6826,17635,2167,5009,4462,12756
Barra de Guabiraba,10999,3989,283,634,2501,210,570,2812
Barreiros,29154,15841,217,6028,861,2060,2831,1316
Belém de Maria,5528,3893,5,425,147,321,474,263
Belém do São Francisco,21403,8234,27,3084,6797,1166,1210,885
Belo Jardim,246550,41591,170062,12424,5854,2393,6235,7991
Betânia,6842,4360,-,395,755,491,552,289
Bezerros,65904,35196,5047,8727,9095,1894,4797,1148
Bodocó,19376,11528,350,1636,1208,785,2022,1847
Bom Conselho,30413,17746,724,2439,3163,902,1438,4001
Bom Jardim,31163,15581,1963,1954,1963,1026,4107,4569
Bonito,53561,16387,7290,2635,5081,1161,2035,18972
Brejão,14287,3084,88,366,4096,233,154,6266
Brejinho,4491,3051,-,211,286,371,457,115
Brejo da Madre de Deus,38478,27085,179,2525,2776,1141,4029,743
Buenos Aires,8572,6228,3,627,659,378,621,56
Buíque,25547,16006,531,2192,3367,988,1118,1345
Cabo de Santo Agostinho,911369,124223,561868,139113,3671,16545,16153,49796
Cabrobó,44452,14025,316,2753,7256,1572,1784,16746
Cachoeirinha,15256,11439,130,1414,596,620,1049,8
Caetés,13024,7684,1241,524,1998,620,910,47
Calçado,6094,3402,425,249,756,267,538,457
Calumbi,4381,2332,-,329,968,221,244,287
Camaragibe,169011,100441,2745,40899,3222,4985,10524,6195
Camocim de São Félix,11735,7619,30,1043,1634,282,1062,65
Camutanga,9084,3816,1968,429,1410,366,520,575
Canhotinho,19701,8622,2717,1035,1462,1183,1114,3568
Capoeiras,10382,6037,16,856,2125,387,476,485
Carnaíba,14083,8604,69,916,865,1070,852,1707
Carnaubeira da Penha,6451,3655,0,319,1099,561,682,135
Carpina,114246,50226,24515,25445,2767,3430,6626,1237
Caruaru,513779,254935,55902,133511,7046,26291,26350,9744
Casinhas,7040,4587,4,367,451,297,1320,14
Catende,22933,14833,1621,2846,88,1015,1576,954
Cedro,8238,4372,10,652,1476,371,784,573
Chã de Alegria,8088,5098,322,609,741,502,610,206
Chã Grande,23892,9149,139,1639,4187,593,1225,6960
Condado,17537,12124,1352,1469,156,649,1647,140
Correntes,9505,5474,353,587,1844,325,423,499
Cortês,6550,4480,25,490,252,534,442,327
Cumaru,27887,6055,1,402,208,409,1619,19193
Cupira,20478,13197,1070,2213,441,855,2480,222
Custódia,31749,18572,4221,3628,1618,1304,1997,409
Dormentes,13326,6413,2720,1164,1410,466,910,243
Escada,62423,25918,20132,7512,1181,850,4265,2565
Exu,17196,12358,49,1497,853,791,1441,207
Feira Nova,19495,11211,1108,1250,1487,655,1629,2155
Fernando de Noronha,26730,10052,331,11087,92,2165,95,2908
Ferreiros,8129,5465,20,587,491,403,812,351
Flores,16520,7830,1191,1218,2409,712,888,2272
Floresta,38517,15704,1662,4760,3625,1588,1902,9276
Frei Miguelinho,10774,7106,366,746,384,277,1886,9
Gameleira,14761,7824,2490,1338,346,498,1402,863
Garanhuns,166795,77277,15371,33065,8640,6258,6433,19751
Glória do Goitá,33625,11410,16169,1726,1907,652,1635,126
Goiana,319805,49625,209323,25032,5064,14784,6881,9096
Granito,4792,2997,305,326,286,398,439,41
Gravatá,116557,62332,10810,24273,7453,2678,7119,1892
Iati,10127,6625,-,647,1459,423,692,281
Ibimirim,24024,12013,3,2237,5849,1194,1303,1425
Ibirajuba,3957,2731,-,168,354,171,321,212
Igarassu,607886,60821,467344,26018,7292,6848,5744,33819
Iguaracy,6861,4312,0,443,954,396,460,296
Inajá,17948,9554,1174,1484,4037,462,600,637
Ingazeira,2812,1999,0,158,149,248,232,26
Ipojuca,800540,85067,585810,106384,2926,9074,7725,3554
Ipubi,26444,9748,10190,3033,1247,826,1165,235
Itacuruba,4872,2388,1,439,957,413,298,376
Itaíba,14717,10152,-,898,2007,589,1011,60
Ilha de Itamaracá,35099,19724,111,3087,312,5370,3329,3166
Itambé,25195,15623,345,3494,922,1793,2018,1000
Itapetim,9545,6422,68,687,865,497,901,105
Itapissuma,60689,8542,43155,3552,1770,1135,1427,1108
Itaquitinga,13447,6467,77,813,3150,1756,840,344
Jaboatão dos Guararapes,964957,414578,197173,239772,713,37099,41187,34435
Jaqueira,6487,4114,11,407,278,548,1080,49
Jataúba,9986,7109,1,638,469,437,1194,138
Jatobá,11879,5819,124,750,774,770,1076,2566
João Alfredo,18452,12102,496,1691,238,712,2948,265
Joaquim Nabuco,9543,4817,663,674,1124,640,750,875
Jucati,5684,4131,0,214,761,263,294,21
