Municipios,Total,Automóvel,Caminhão,Caminhonete,Camioneta,Ônibus,Microônibus,Motocicleta,Outros
Abreu e Lima,5.669,1.026,217,384,63,36,17,3.634,292
Afogados da Ingazeira,8.047,3.278,234,495,181,44,56,2.828,931
Afrânio,6.054,2.251,199,190,119,110,91,2.471,623
Agrestina,11.114,2.884,397,612,255,94,113,5.788,971
Água Preta,3.479,1.544,149,248,85,19,65,1.197,172
Águas Belas,8.648,3.768,259,339,170,143,37,3.015,917
Alagoinha,5.018,1.790,112,276,123,42,80,2.050,545
Aliança,4.021,1.453,159,297,82,61,39,1.667,263
Altinho,2.397,1.072,58,202,39,13,45,822,146
Amaraji,3.863,1.600,107,156,152,120,59,1.380,289
Angelim,36.929,8.943,1.196,1.868,811,102,132,20.154,3.723
Araçoiaba,32.851,15.010,1.287,2.052,908,188,216,9.329,3.861
Araripina,2.344,1.017,82,171,57,20,26,867,104
Arcoverde,11.222,4.309,309,433,258,110,71,4.161,1.571
Barra de Guabiraba,2.263,995,103,132,61,16,48,763,145
Barreiros,5.347,1.679,115,305,179,29,36,2.638,366
Belém de Maria,32.807,10.905,985,1.909,781,126,442,13.084,4.575
Belém do São Francisco,3.275,770,60,195,41,20,27,2.086,76
Belo Jardim,26.196,9.412,943,1.464,625,141,150,10.277,3.184
Betânia,10.622,2.093,263,717,170,41,15,7.034,289
Bezerros,14.751,4.037,354,815,353,51,83,7.944,1.114
Bodocó,11.033,4.664,327,661,253,153,325,4.209,441
Bom Conselho,9.549,4.077,407,676,253,67,115,3.310,644
Bom Jardim,2.088,708,96,174,18,19,27,935,111
Bonito,1.834,573,61,138,35,9,19,921,78
Brejão,15.426,3.820,424,1.469,192,28,420,7.605,1.468
Brejinho,2.956,1.103,83,192,61,33,22,1.290,172
Brejo da Madre de Deus,10.194,3.505,292,900,188,59,150,4.643,457
Buenos Aires,58.452,29.876,1.612,2.690,2.265,594,272,15.006,6.137
Buíque,12.176,3.537,302,626,213,31,48,6.543,876
Cabo de Santo Agostinho,7.625,2.637,249,504,125,23,94,2.834,1.159
Cabrobó,6.370,2.686,335,482,120,49,90,2.393,215
Cachoeirinha,3.306,1.137,97,217,39,29,18,1.474,295
Caetés,2.001,556,63,123,23,14,11,1.122,89
Calçado,49.856,26.091,861,2.408,2.238,162,218,15.095,2.783
Calumbi,4.613,2.102,183,313,97,18,62,1.525,313
Camaragibe,2.246,653,112,117,47,24,2,997,294
Camocim de São Félix,6.550,2.486,248,408,143,30,115,2.677,443
Camutanga,4.727,1.839,298,424,140,30,75,1.767,154
Canhotinho,5.840,1.479,152,498,113,30,69,3.205,294
Capoeiras,1.919,482,42,160,42,6,25,1.117,45
Carnaíba,34.421,13.484,1.064,1.834,1.434,200,158,11.795,4.452
Carnaubeira da Penha,191.877,81.882,5.738,10.361,5.788,771,897,61.431,25.009
Carpina,3.712,877,82,140,34,17,166,2.228,168
Caruaru,9.301,3.409,245,356,210,93,105,3.652,1.231
Casinhas,2.874,844,42,139,48,13,7,1.607,174
Catende,2.378,955,71,130,54,52,37,924,155
Cedro,7.320,2.657,353,671,127,49,71,2.803,589
Chã de Alegria,7.854,2.662,138,299,164,81,42,3.081,1.387
Chã Grande,3.202,820,77,187,32,16,49,1.850,171
Condado,2.296,923,210,134,44,42,61,699,183
Correntes,4.102,1.180,211,269,74,17,109,2.064,178
Cortês,10.182,3.999,333,639,259,24,115,3.405,1.408
Cumaru,13.699,4.725,469,988,247,54,130,5.958,1.128
Cupira,5.845,1.264,344,408,39,60,25,3.327,378
Custódia,19.468,7.527,527,723,504,185,87,7.780,2.135
Dormentes,9.944,2.987,334,655,322,57,19,5.156,414
Escada,7.198,1.904,287,381,238,34,72,3.374,908
Exu,1.709,585,24,177,67,14,29,484,329
Feira Nova,3.484,1.018,90,169,92,58,4,1.704,349
Fernando de Noronha,5.824,1.828,132,407,87,25,66,3.023,256
Ferreiros,10.637,3.108,548,812,227,35,58,4.826,1.023
Flores,4.734,1.755,269,401,120,21,132,1.700,336
Floresta,3.748,1.705,95,157,78,70,18,1.228,397
Frei Miguelinho,63.680,30.594,1.991,3.818,1.842,213,335,18.900,5.987
Gameleira,7.463,2.200,290,414,154,76,76,3.523,730
Garanhuns,32.363,12.450,919,1.235,1.065,226,249,11.313,4.906
Glória do Goitá,1.776,371,35,142,16,16,2,1.148,46
Goiana,39.008,13.064,1.194,2.466,975,128,153,15.636,5.392
Granito,3.295,1.009,115,303,54,33,52,1.566,163
Gravatá,7.135,2.313,206,772,151,28,70,3.198,397
Iati,1.654,619,50,98,25,9,18,692,143
Ibimirim,33.198,17.911,1.102,1.538,1.830,551,134,7.471,2.661
Ibirajuba,2.879,1.001,150,164,58,34,37,1.342,93
Igarassu,3.378,944,89,289,124,20,23,1.741,148
Iguaracy,1.139,373,41,72,29,13,19,544,48
Inajá,25.678,12.032,768,1.299,1.222,600,325,6.209,3.223
Ingazeira,8.043,1.863,345,429,97,44,28,4.794,443
Ipojuca,879,353,29,70,30,8,10,340,39
Ipubi,7.025,1.683,239,554,209,40,57,3.987,256
Itacuruba,5.074,2.446,89,289,333,37,17,1.298,565
Itaíba,15.389,3.813,408,582,290,184,48,7.850,2.214
Ilha de Itamaracá,3.923,1.184,101,237,61,14,7,2.013,306
Itambé,4.845,2.609,122,220,375,25,41,942,511
Itapetim,3.159,1.054,45,122,109,53,40,1.464,272
Itapissuma,212.992,110.036,5.911,10.054,9.384,2.292,742,59.219,15.354
Itaquitinga,1.943,681,61,111,44,27,18,858,143
Jaboatão dos Guararapes,4.391,1.074,207,457,56,20,250,2.127,200
Jaqueira,2.403,790,48,126,33,17,32,1.061,296
